Field,Level,N paired,N ordered,Exact agreement,Unweighted kappa,Linear weighted kappa,Quadratic weighted kappa,Primary statistic,Primary estimate,95% CI lower,95% CI upper,Disagreements
Failure Category,nominal,100,,0.89,0.8299319727891155,,,Cohen's kappa,0.8299319727891155,0.7215966206691312,0.919693548772859,11
Propagation Reach,ordinal,100,100,0.64,0.43872778297474274,0.5220755575785162,0.601063829787234,Quadratic weighted kappa,0.601063829787234,0.446556816618219,0.7316305660695747,36
Risk Assessment,ordinal,100,100,0.83,0.7351199750701153,0.7855611150822016,0.8451053283767038,Quadratic weighted kappa,0.8451053283767038,0.7282581638538312,0.9203937999695955,17
Recovery Complexity,ordinal,100,100,0.91,0.8810310641110378,0.9136713231831738,0.9428702010968921,Quadratic weighted kappa,0.9428702010968921,0.884998534550241,0.9800564395787412,9
