Field,N,Exact set agreement,Mean Jaccard,Micro F1,Macro per-label kappa,Distinct labels,Disagreements
Failure Mode(s),100,0.75,0.7566666666666667,0.7582938388625592,0.6893859081668592,17,25
Impact Dimension(s),100,0.3,0.6368333333333333,0.7495429616087751,0.5967983206774853,12,70
Recovery / Maintenance Action(s),100,0.04,0.30083333333333334,0.4277227722772277,0.23007010164440614,17,96
Causal Location(s),100,0.25,0.5826666666666667,0.6789838337182448,0.5352388659814995,8,75
