Field,N,Exact %,kappa,kappa_qw,Adjacent %,Lower,Higher,Sign p,Consensus n,Consensus %,Adjudicated n,Adjudicated %
Failure Category,30,90.0,0.854,,,,,,30,90.0,0,
Propagation Reach,30,86.7,0.757,0.76,96.7,3.0,1.0,0.625,20,95.0,10,70.0
Risk Assessment,30,90.0,0.835,0.916,100.0,2.0,1.0,1.0,25,92.0,5,80.0
Recovery Complexity,30,80.0,0.731,0.828,93.3,5.0,1.0,0.219,27,77.8,3,100.0
